@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC

@DATA
61182758,5426737,5,20170815103743,08
59775813,5426737,4,20170425142249,04
69929795,5426737,4,20170221122228,02
5028582,5426737,3,20170901171000,09
51650674,5426737,4,20170804142023,08
85982192,5426737,5,20170615140437,06
87149719,5426737,5,20170605134904,06
86658600,5426737,5,20170201093933,02
67025169,5426737,5,20170124124000,01
91548578,5426737,4,20170118200504,01
37972963,5426737,5,20161110083958,11
45969171,5426737,3,20161022225558,10
1381100473,5426737,4,20161002100420,10
19087787,5426737,3,20160922150635,09
5338768,5426737,5,20160708004346,07
93474978,8473068,1,20161002170314,10
5334886,6588597,1,20170620092655,06
52268437,6588597,4,20161203101902,12
13002777,6588597,4,20141231163740,12
5060488,6588597,3,20140729180656,07
264031,6588597,5,20140306132354,03
81946264,882154,5,20140621123805,06
470344,882154,4,20140515210943,05
19660124,882154,4,20140513134356,05
49128303,882154,4,20140416232900,04
50863275,882154,5,20140410125136,04
948620,882154,4,20140408104218,04
41900929,882154,4,20140322214751,03
59380787,882154,4,20140322204050,03
63390766,882154,3,20140304131532,03
19731650,882154,2,20140216120826,02
71797120,882154,3,20140125202604,01
19191398,882154,3,20131228141839,12
34371327,882154,2,20131227121247,12
93814475,5438904,3,20170901145950,09
74267586,5438904,4,20170701102404,07
82717439,5438904,4,20170618204835,06
48433086,5438904,3,20170504165720,05
91727393,5438904,5,20170327220731,03
55412083,5438904,3,20161126204950,11
60049768,5438904,3,20161025155311,10
5486156,5438904,4,20160520142444,05
62525698,5438904,3,20160514072838,05
34865671,5438904,1,20160414145418,04
90460320,5438904,5,20160414135607,04
72954917,5438904,4,20160328213516,03
5575708,5438904,4,20160326203626,03
46758152,5438904,5,20160322134852,03
266064,5438904,3,20160317181757,03
85078690,10007,3,20170529111421,05
90401345,10007,3,20170807085923,08
31157787,10007,4,20170320140631,03
55947115,10007,4,20161018170606,10
31870162,10007,5,20161008222459,10
320111,10007,4,20160930154904,09
19441100,10007,4,20160808140023,08
77769807,10007,5,20160720063454,07
66058329,10007,5,20160526180017,05
84439111,10007,5,20160524104221,05
90460320,10007,5,20160401110016,04
90520219,10007,5,20160327112619,03
80048035,10007,5,20160317190930,03
17470407,10007,4,20151027155606,10
50127877,10007,3,20151120063849,11
10403306,7900619,5,20140526000930,05
42722877,7900619,5,20140522151230,05
82696130,7900619,3,20140427015320,04
47994669,7900619,3,20140424203902,04
82852360,7900619,3,20140418141546,04
51896978,7900619,4,20140417132911,04
82030363,7900619,5,20140415155910,04
69612300,7900619,5,20140415111210,04
30117631,7900619,5,20140414230120,04
75892404,7900619,5,20140406111355,04
64478730,7900619,3,20140328141740,03
51320133,7900619,4,20140324193628,03
66807807,7900619,5,20140318153603,03
176386,7900619,5,20140316110952,03
17217882,7900619,5,20140225194046,02
1087033,9033765,4,20160824105853,08
68397948,9033765,3,20160817180855,08
10569898,9033765,1,20160730171906,07
33122061,9033765,5,20160701113959,07
55066214,9033765,3,20160610135717,06
35996631,9033765,5,20160512162414,05
5131876,9033765,5,20160413205020,04
49232376,9033765,5,20160407220547,04
48242209,9033765,4,20160319151107,03
39942441,882154,5,20141224104540,12
2131530,882154,5,20141209104946,12
42768183,882154,3,20141105103611,11
19302912,882154,4,20140926171702,09
51990330,882154,4,20140926113738,09
158081,882154,3,20140920112025,09
59904862,882154,5,20140917113858,09
5384605,882154,4,20140908011531,09
71196672,882154,3,20140902133416,09
17229738,882154,3,20140828090645,08
17245887,882154,3,20140815144326,08
86718933,882154,1,20140808163541,08
17374199,882154,5,20140728101653,07
10240389,882154,3,20140726095916,07
17658201,882154,5,20140717165621,07
67535465,7900619,3,20140901155957,09
52576710,7900619,4,20140822193142,08
36281389,7900619,4,20140822102621,08
587403,7900619,3,20140818101914,08
17297059,7900619,5,20140812112117,08
90029721,7900619,5,20140804151120,08
83683458,7900619,5,20140731104336,07
939227,7900619,4,20140727205941,07
52666344,7900619,5,20140725125558,07
37076884,7900619,5,20140707154836,07
43069673,7900619,5,20140628210440,06
739287,7900619,2,20140625002407,06
48089716,7900619,4,20140616125410,06
19083211,7900619,3,20140609105341,06
35790884,7900619,4,20140527142321,05
927538,882154,3,20150809204118,08
49623999,882154,3,20150805001412,08
54483776,882154,3,20150729095415,07
36759789,882154,5,20150616101655,06
17224276,882154,4,20150609015707,06
90115323,882154,5,20150505235310,05
1385476500,882154,5,20150420202851,04
89815846,882154,3,20150406223850,04
58813115,882154,3,20150404155134,04
59356254,882154,4,20150310154803,03
710037,882154,5,20150302090657,03
31984744,882154,3,20150224091647,02
42106862,882154,4,20150206131718,02
553001,882154,4,20150114104225,01
364868,882154,3,20150106213521,01
85346623,9033765,1,20170805230459,08
63945255,9033765,1,20170804114525,08
46134329,9033765,1,20170616050455,06
5260697,9033765,4,20170302164648,03
5517678,9033765,5,20170901100558,09
85554465,9033765,4,20170813195122,08
5148322,9033765,1,20170805185529,08
5606415,9033765,5,20170731195458,07
88653982,9033765,1,20170629095339,06
75427849,9033765,4,20170125153226,01
37730719,9033765,1,20170115173628,01
33410508,9033765,5,20161223180856,12
63221833,9033765,1,20161007120925,10
64665009,9033765,5,20160911130508,09
93126362,9033765,3,20160828184826,08
17089746,5438654,5,20140304213518,03
30090484,7925427,3,20160427234146,04
40884383,7925427,3,20150929110033,09
68226330,7925427,3,20150921140658,09
62632430,7925427,3,20150822010558,08
48262917,7925427,3,20150810163628,08
75063435,7925427,3,20150507212929,05
57816645,7925427,5,20140831073145,08
19338802,7925427,3,20140822133100,08
87269511,7900619,4,20150525202428,05
86921328,7900619,3,20150316123349,03
35758270,7900619,5,20150210230552,02
